Distance,0,1,150,300,400,500,650,800,1000,1250,1500,1750,2000,3000,more
0,45,94,63,225,509,812,1561,2289,3180,4097,3059,2800,1712,2259,1591
0.5,17,29,26,69,135,206,434,706,1037,1192,823,729,477,651,444
1,15,50,34,48,143,271,547,936,1335,1426,950,788,533,627,467
1.5,19,46,39,81,172,314,699,1389,1987,2063,1318,1115,786,930,686
2,27,47,25,94,159,325,809,1679,2254,2469,1649,1297,1001,1187,896
2.5,19,54,37,83,192,343,840,1767,2532,2773,1983,1602,1095,1508,1003
3,25,58,43,65,187,359,932,1800,2742,2959,2018,1714,1275,1653,1191
4,41,95,75,138,352,696,1807,4065,5913,6363,4482,3641,2719,3718,2726
5,49,101,73,138,340,696,1776,3883,6078,6672,4570,3841,2902,4245,3305
6,36,77,62,161,307,630,1654,3746,6057,6797,4710,4086,2987,4305,3492
7,48,74,66,107,306,557,1563,3555,5693,6283,4569,3935,2942,4195,3495
8,26,80,43,93,293,480,1389,3434,5313,6090,4427,3782,2773,4108,3587
9,33,67,49,106,239,492,1347,3152,5105,5888,4214,3657,2786,4046,3838
10,29,71,32,95,205,423,1247,3066,4840,5814,4129,3646,2732,4004,3327
11,33,64,32,86,232,419,1205,2875,4692,5472,4089,3446,2645,3888,3100
12,28,52,32,77,194,392,1123,2691,4456,5167,3890,3245,2490,3841,2843
13,11,47,31,60,213,356,1039,2611,4202,4943,3724,3147,2381,3648,2812
14,23,61,28,83,171,312,1020,2450,3970,4751,3498,2875,2411,3468,2487
15,14,56,26,53,154,314,905,2198,3719,4470,3277,2908,2270,3397,2236
16,14,44,34,68,142,260,837,2144,3524,4225,3075,2658,2055,3011,2120
17,15,41,30,58,133,251,768,1897,3287,3901,2793,2494,1934,2915,1814
18,6,39,31,47,122,253,763,1830,3063,3576,2745,2421,1718,2728,1826
19,13,28,22,48,109,225,678,1647,2949,3604,2651,2227,1727,2615,1660
20,10,31,16,42,109,203,590,1560,2766,3274,2511,2198,1610,2506,1644
21,10,29,27,33,91,182,526,1445,2473,3118,2359,2100,1634,2464,1633
22,17,28,19,39,95,179,486,1296,2218,2926,2285,1986,1527,2369,1570
23,16,32,25,36,89,172,518,1209,2187,2774,2122,1912,1393,2309,1335
24,11,30,22,31,87,142,483,1124,2009,2542,2051,1856,1368,2171,1293
25,11,20,9,32,76,161,426,1056,1883,2447,1890,1612,1285,1926,1250
26,8,25,13,37,69,123,373,946,1685,2285,1818,1496,1212,1903,1240
27,10,19,14,25,52,141,363,941,1600,2064,1641,1479,1144,1709,1091
28,14,19,14,19,65,110,356,831,1438,1954,1529,1312,966,1586,929
29,6,16,16,23,50,86,291,732,1321,1835,1417,1193,987,1559,935
30,8,16,9,17,51,78,288,645,1135,1621,1288,1080,858,1327,840
32,16,32,19,39,79,170,486,1203,2107,2874,2211,2053,1552,2496,1542
34,12,24,13,42,74,154,386,1055,1974,2577,2032,1772,1363,2212,1288
36,7,24,18,22,60,137,380,921,1725,2322,1704,1576,1163,1766,1042
38,9,6,10,24,43,110,284,684,1342,1780,1457,1337,1005,1568,874
40,6,13,6,12,34,90,244,577,1141,1500,1308,1146,800,1347,703
42,3,14,6,15,41,82,215,492,960,1322,1036,928,724,1121,553
44,0,4,7,3,45,73,167,401,810,1030,905,820,615,889,468
46,3,5,0,9,25,52,141,334,666,916,791,683,502,776,358
48,0,7,6,7,21,41,113,291,522,770,631,599,465,694,321
50,0,7,3,4,13,30,95,211,444,626,566,514,391,587,266
52,0,0,0,7,9,28,95,204,394,518,467,419,310,497,262
54,0,4,6,5,17,23,62,183,309,490,448,405,333,487,222
56,0,3,5,3,9,23,64,133,253,392,303,328,253,493,229
58,0,4,3,5,0,11,45,108,207,337,329,291,252,412,192
60,0,8,0,5,12,18,47,100,196,278,246,229,177,319,153
62,3,3,0,0,0,12,51,82,157,247,203,223,193,280,143
64,0,0,0,0,5,20,25,68,176,231,186,169,150,270,132
66,0,3,0,5,4,10,37,71,123,215,179,202,139,237,120
68,0,0,0,0,8,17,31,85,138,203,185,174,154,224,92
70,0,0,0,3,6,11,28,64,134,169,174,185,146,241,88
72,0,3,3,0,3,14,38,54,117,199,217,189,137,241,94
74,0,0,0,4,9,15,26,59,129,174,183,180,154,206,87
76,0,0,0,0,5,15,34,55,109,200,170,146,95,201,81
78,0,0,0,0,4,14,22,51,109,163,140,125,112,192,123
80,0,0,0,3,4,9,27,51,110,156,145,154,129,183,105
85,0,4,0,8,13,18,54,121,240,389,371,351,282,477,213
90,4,7,3,5,9,25,40,103,176,275,263,303,205,382,143
95,0,3,0,0,12,22,30,81,153,200,199,176,146,260,143
100,0,0,0,5,8,8,31,49,125,171,145,151,114,170,76
110,0,3,0,4,9,17,36,91,135,215,199,192,152,198,94
120,0,5,0,0,4,11,28,54,95,108,94,114,95,99,45
130,0,0,0,0,0,3,8,16,28,56,35,30,29,56,31
140,0,0,0,0,0,3,7,8,31,36,34,26,23,36,25
150,0,4,0,0,4,3,5,25,28,45,21,28,24,30,27
200,0,7,5,0,3,17,35,72,93,143,109,111,79,106,109
250,4,0,0,0,4,6,14,33,34,46,30,48,26,69,43
